time,open,high,low,close,volume
1704067200,43200,43620,42980,43480,1540
1704070800,43480,43910,43340,43820,1622
1704074400,43820,44180,43610,43720,1498
1704078000,43720,44050,43440,43960,1710
1704081600,43960,44420,43880,44310,1855
1704085200,44310,44680,44120,44200,1760
1704088800,44200,44730,44090,44610,1934
1704092400,44610,44920,44360,44840,2018
1704096000,44840,45130,44520,44690,1902
1704099600,44690,45080,44470,44990,2088
1704103200,44990,45420,44810,45360,2206
1704106800,45360,45630,45120,45210,2150
1704110400,45210,45560,44970,45480,2295
1704114000,45480,45980,45320,45890,2418
1704117600,45890,46120,45610,45740,2322
1704121200,45740,46260,45590,46180,2480
1704124800,46180,46540,45920,46390,2532
1704128400,46390,46720,46100,46240,2464
1704132000,46240,46610,45980,46480,2555
1704135600,46480,46950,46340,46890,2702
1704139200,46890,47140,46620,46750,2611
1704142800,46750,47020,46390,46520,2498
1704146400,46520,46800,46140,46280,2355
1704150000,46280,46550,45880,46020,2260
1704153600,46020,46320,45690,45910,2204
1704157200,45910,46240,45550,45680,2148
1704160800,45680,46030,45340,45840,2199
1704164400,45840,46290,45620,46110,2333
1704168000,46110,46580,45900,46470,2470
1704171600,46470,46940,46210,46810,2588
1704175200,46810,47280,46600,47120,2664
1704178800,47120,47590,46920,47480,2788
1704182400,47480,47910,47260,47720,2840
1704186000,47720,48140,47410,48060,2934
1704189600,48060,48420,47780,48220,3010
1704193200,48220,48680,48040,48590,3144
1704196800,48590,48920,48270,48380,3005
1704200400,48380,48740,48080,48150,2922
1704204000,48150,48420,47780,47920,2815
1704207600,47920,48210,47560,47680,2702
