time,open,high,low,close,volume
1704067200,2280,2318,2266,2304,8420
1704070800,2304,2336,2292,2328,8810
1704074400,2328,2351,2308,2318,8160
1704078000,2318,2348,2301,2340,9020
1704081600,2340,2376,2328,2368,9404
1704085200,2368,2390,2349,2358,8877
1704088800,2358,2396,2344,2388,9680
1704092400,2388,2414,2372,2406,10014
1704096000,2406,2431,2380,2394,9430
1704099600,2394,2426,2378,2418,10112
1704103200,2418,2456,2404,2448,10842
1704106800,2448,2472,2429,2436,10444
1704110400,2436,2468,2418,2459,11020
1704114000,2459,2498,2444,2490,11680
1704117600,2490,2510,2468,2479,11170
1704121200,2479,2521,2462,2512,11902
1704124800,2512,2540,2494,2528,12210
1704128400,2528,2552,2508,2516,11750
1704132000,2516,2544,2496,2535,12160
1704135600,2535,2574,2522,2568,12820
1704139200,2568,2588,2548,2556,12400
1704142800,2556,2578,2526,2538,11660
1704146400,2538,2562,2508,2518,10980
1704150000,2518,2540,2486,2498,10460
1704153600,2498,2522,2471,2489,10144
1704157200,2489,2516,2460,2470,9850
1704160800,2470,2499,2444,2482,10012
1704164400,2482,2518,2468,2508,10770
1704168000,2508,2544,2490,2537,11440
1704171600,2537,2572,2519,2565,12020
1704175200,2565,2600,2548,2589,12480
1704178800,2589,2622,2572,2617,13110
1704182400,2617,2651,2600,2634,13444
1704186000,2634,2668,2610,2660,14080
1704189600,2660,2686,2638,2672,14420
1704193200,2672,2711,2658,2702,15100
1704196800,2702,2728,2678,2684,14390
1704200400,2684,2710,2656,2665,13720
1704204000,2665,2688,2634,2647,13010
1704207600,2647,2670,2615,2628,12440
